id,nazev,obchod,cena_czk,dostupnost,sirka_cm,vyska_cm,hloubka_cm,hloubka_poznamka,zrcadlo,supliky,barva,bila_vyhoda,url,poznamka
k01_reference_dobresny_bila,Šatní skříň s otočnými dveřmi a zrcadlem 90 cm bílá,Dobrésny.cz,11250,Na cestě od dodavatele,90,180,50,Textový popis uvádí 51 cm.,ano,2,Bílá,ano,https://www.dobresny.cz/detail/skrine/skrine-s-otocnymi-dvermi/satni-skrin-s-otocnymi-dvermi-a-zrcadlem-90-cm-bila.html,"Hloubka se na stránce liší: tabulka parametrů uvádí 50 cm, textový popis 51 cm."
k02_dobresny_bila_seda,Šatní skříň s otočnými dveřmi a zrcadlem 90cm bílá / šedá,Dobrésny.cz,11510,Na cestě od dodavatele,90,180,50,Textový popis uvádí 51 cm.,ano,2,bílá/šedá,ano,https://www.dobresny.cz/detail/skrine/skrine-s-otocnymi-dvermi/satni-skrin-s-otocnymi-dvermi-a-zrcadlem-90cm-bila-seda.html,"Hloubka se liší podle zdroje: tabulka 50 cm, text 51 cm."
k03_dobresny_dub_artisan_bila,Šatní skříň s otočnými dveřmi a zrcadlem 90cm dub artisan / bílá,Dobrésny.cz,11510,Na cestě od dodavatele,90,180,50,Textový popis uvádí 51 cm.,ano,2,dub artisan/bílá,ano,https://www.dobresny.cz/detail/skrine/skrine-s-otocnymi-dvermi/satni-skrin-s-otocnymi-dvermi-a-zrcadlem-90cm-dub-artisan-bila.html,"Hloubka se liší podle zdroje: tabulka 50 cm, text 51 cm."
k04_dobresny_dub_artisan,Šatní skříň s otočnými dveřmi a zrcadlem 90cm dub artisan,Dobrésny.cz,11250,Na cestě od dodavatele,90,180,50,Textový popis uvádí 51 cm.,ano,2,Dub,ne,https://www.dobresny.cz/detail/skrine/skrine-s-otocnymi-dvermi/satni-skrin-s-otocnymi-dvermi-a-zrcadlem-90cm-dub-artisan.html,"Hloubka se liší podle zdroje: tabulka 50 cm, text 51 cm."
k05_dobresny_sonoma,Šatní skříň s otočnými dveřmi a zrcadlem 90cm sonoma,Dobrésny.cz,11250,Na cestě od dodavatele,90,180,50,Textový popis uvádí 51 cm.,ano,2,Dub sonoma,ne,https://www.dobresny.cz/detail/skrine/skrine-s-otocnymi-dvermi/satni-skrin-s-otocnymi-dvermi-a-zrcadlem-90cm-sonoma.html,"Hloubka se liší podle zdroje: tabulka 50 cm, text 51 cm."
k06_dobresny_wenge_sonoma,Šatní skříň s otočnými dveřmi a zrcadlem 90 cm wenge / sonoma,Dobrésny.cz,11510,Na cestě od dodavatele,90,180,51,,ano,2,wenge/dub sonoma,ne,https://www.dobresny.cz/detail/skrine/skrine-s-otocnymi-dvermi/satni-skrin-s-otocnymi-dvermi-a-zrcadlem-90-cm-wenge-sonoma.html,
k07_nabytek_market_bila,Šatní skříň SS-90 zrcadlo Bílá,Nabytek-market.cz,5539,1-2 týdny,90,180,50,,ano,2,Bílá,ano,https://www.nabytek-market.cz/satni-skrin-ss-90-zrcadlo-bila-detail,Stránka zároveň uvádí status 'Rychlé dodání'.
k08_salmax_bezova,Šatní skříň SS-90 se zrcadlem - béžová,Salmax.cz,6209,Do 2 týdnů,90,180,50,,ano,2,Béžová,ne,https://www.salmax.cz/p/satni-skrin-ss-90-se-zrcadlem-bezova/,"Na stránce jsou dvě ceny: nahoře 6209 Kč, v detailním výpisu 6479 Kč."
k09_sg_bila,Šatní skříň se zrcadly S90 2 dvířka 2 zásuvky bílá,SG nábytek,6129,Obvykle skladem,90,180,51,,ano,2,bílá,ano,https://www.sg-nabytek.cz/cs/satni-skrin-se-zrcadly-s90-2-dvirka-2-zasuvky-bila,Doručíme do 3. 4. 2026
k10_sg_bila_dub_sonoma,Šatní skříň se zrcadly S90 2 dvířka 2 zásuvky bílá/dub sonoma,SG nábytek,6229,Obvykle skladem,90,180,51,,ano,2,bílá/dub sonoma,ano,https://www.sg-nabytek.cz/cs/satni-skrin-se-zrcadly-s90-2-dvirka-2-zasuvky-bila-dub-sonoma,Doručíme do 3. 4. 2026
k11_sg_bila_wenge,Šatní skříň se zrcadly S90 2 dvířka 2 zásuvky bílá/wenge,SG nábytek,5989,Obvykle skladem,90,180,51,,ano,2,bílá/wenge,ano,https://www.sg-nabytek.cz/cs/satni-skrin-se-zrcadly-s90-2-dvirka-2-zasuvky-bila-wenge,Doručíme do 3. 4. 2026
